title,abstract,year,Topic_ID,Dimension,Objective,Method,Result
{Digital government transformation: A case illustrating public e-service development as part of public sector transformation},"Digital government is often seen as an enabler or even driver of transformation of public administration, with the objective of creating public value. Such transformations are complex, requiring a long process of change; often, digitalization of public services is seen as the main means to this end. We investigate how digitalization of public services can be related to public sector transformation, and how this development can be linked to public value. In order to do so, this paper first conceptualizes digital government enabled transformation based on literature. Thereafter, we present an empirical example of public e-service development in Sweden. This case illustrates how e-service development can highlight shifts in societal values, and challenges that follow when trying to sustain changing societal values. Our findings suggest that in order to sustain transformation and (changing) public value, multiple processes of change and redesign need to be in place, not only of the organisational processes involved, but also of regulatory and institutional aspects, such as changes to the law and in the discretion and work practice of public officials.",2018,3.0,Departmental responsibilities and administrative power,"We investigate how digitalization of public services can be related to public sector transformation, and how this development can be linked to public value.",,
{Big Data-Driven Public Policy Decisions: Transformation Toward Smart Governance},"Big data analytics (BDA) enhances knowledge and decision-making. Despite its importance, the connection between technical progress and political change is neglected in the administrative process. Most studies focus on e-government, e-governance, and how technology can improve existing operations of the bureaucracy. However, this article aims to explore the potential of BDA for public policy systems and provide a linkage for the transformation toward digital and smart governance using preferred reported items for systematic review and meta-analysis (PRISMA) approach to reveal the relevant documents and narrative review approach to interpret the application of BDA at each step of the public policy system. In addition, this study identifies several common public policy-related big data sources and techniques that could be used at the various stages of the public policy process. This study argues that BDA has the potential to be used for policy formulation in the four main phases—planning, design, service delivery, and evaluation. Most studies confirm its potential in the policy process for taxation, health, education, transportation, law, economy, and social system. This study reveals that it is also suitable for public policy execution stages, such as public supervision, public regulation, service delivery, and policy feedback. Previous studies have indicated that the application of BDA can transform traditional or manual governance systems into digital and smart governance. We contend that the policy cycle should be seen as a dynamic and iterative process characterized by continuous evolution. Though each step of transformation has its unique challenges in handling BDA and maintaining the Information and Communication Technology (ICT) infrastructure, it can ensure an accurate, prompt, and context-oriented public policy system. These insights provide a novel outlook on effectively managing the interplay between innovation and traditional approaches in the realm of public policy development.",2023,6.0,Government organizational structure,"Most studies focus on e-government, e-governance, and how technology can improve existing operations of the bureaucracy.","However, this article aims to explore the potential of BDA for public policy systems and provide a linkage for the transformation toward digital and smart governance using preferred reported items for systematic review and meta-analysis (PRISMA) approach to reveal the relevant documents and narrative review approach to interpret the application of BDA at each step of the public policy system.","Most studies focus on e-government, e-governance, and how technology can improve existing operations of the bureaucracy."
{Big Data Analytics: A Catalyst for Digital Transformation in e-Government},"This paper explores the role of Big Data Analytics (BDA) in e-Government and how it can act as a catalyst for digital transformation. The paper begins by defining e-Government and digital transformation, and then moves on to explain the concept of BDA. The benefits of using BDA in e-Government are then discussed, such as data-driven decision-making and improved citizen engagement. However, there are also challenges to consider, including privacy and security concerns and a lack of skilled professionals. The essay provides case studies of governments that have successfully used BDA to transform their operations and service delivery. In conclusion, BDA has the potential to transform e-Government, but governments must invest in this technology and address the challenges associated with its implementation.",2023,4.0,Leadership,,,"The benefits of using BDA in e-Government are then discussed, such as data-driven decision-making and improved citizen engagement."
{Oecd Countries' Experience in Transformation of Public Service Delivery Systems},"The article discusses the growing importance of digital transformation in public administration, with a focus on the experiences of various countries like South Korea, the U.S., and Sweden. It examines how governments worldwide are leveraging new technologies such as artificial intelligence, cloud computing, and mobile applications to enhance public service delivery. Key objectives include improving efficiency, transparency, and citizen satisfaction while fostering stronger government-citizen interactions. The article also touches on challenges faced during the digital transformation, such as data protection, coordination, and legal frameworks. The research highlights successful strategies in digital governance, such as South Korea's leadership in e-government, which enabled it to excel in global rankings. It underscores the significance of strong leadership and comprehensive strategies, including the use of a ""control room"" to manage inter-departmental coordination. Kazakhstan, which has adopted a new Concept of the development of civil service for 2024-2029, is seeking to apply these international best practices to develop proactive, citizen-centered public services and enhance government efficiency through digitalization.",2024,1.0,Public service delivery,"The article discusses the growing importance of digital transformation in public administration, with a focus on the experiences of various countries like South Korea, the U.S., and Sweden.",,
{Building Collaborative Digital Government Systems},"Successful digital government policies and applications often depend on the ability of multiple organizations to collaborate toward shared objectives. Despite compelling benefits, these efforts are fraught with problems, and often fail. The developmental experiences of 18 collaborative digital government initiatives in New York State reveal five systemic constraints that account for the common difficulties: divergent roles, multiple missions, operational diversity, changing technology, and limited ability to adapt to change. The project experiences also offered ten guiding principles that can help make collaborative systems more successful. These focus on purpose, stakeholders, partnership, leadership, managing complexity, skills, resources, communication, work processes, and explicit design methods.",2002,10.0,Departmental responsibilities and administrative power,"These focus on purpose, stakeholders, partnership, leadership, managing complexity, skills, resources, communication, work processes, and explicit design methods.",,
{Fostering Collaborative Digital Transformation in Indonesian Local Government},"The purpose of this article intended to contribute as a additional reference in the field of public administration and to overlook a concept for the development of digital government transformation that focus on collabrations. This article uses a systematic literature review to explore how collaboration can play an important role in the implementation of digital transformation in local government. West Java Digital Service (JDS) is a digital-based local government agency in West Java Province, Indonesia has a goal as an accelerator of achieving government targets to break the digital divide for remote communities, improve the efficiency and accuracy of community data policies based on data and technology, to support responsive, adaptive, and innovative policy. Initial findings show that JDS does not originate from the purity of the bureaucracy, but rather an institution that formed specifically according to the needs in the acceleration of digital transformation. This means that not all local governments in Indonesia have these digital-based institutions. This article provides an overview of how Indonesian local government deliver a digital-base policy through joint decisions making, that seek to share power in decision making with stakeholders to develop shared recommendations for lasting solutions to public problems.",2022,3.0,Departmental responsibilities and administrative power,The purpose of this article intended to contribute as a additional reference in the field of public administration and to overlook a concept for the development of digital government transformation that focus on collabrations.,,"West Java Digital Service (JDS) is a digital-based local government agency in West Java Province, Indonesia has a goal as an accelerator of achieving government targets to break the digital divide for remote communities, improve the efficiency and accuracy of community data policies based on data and technology, to support responsive, adaptive, and innovative policy."
{Data makes the public sector go round},"This article summarizes the results of a systematic literature review on how the new data technologies affect the public sector and what their impact on governments are. The opportunities and the challenges that public administrations face nowadays in a data-driven world are important. Our research retrieved opportunities related to transparency, innovation, public participation and efficiency, while challenges regarding privacy issues, technical difficulties, data management, cultural and political obstacles were found. By overcoming the challenges and empowering the opportunities for data usability in public sector, exploitation of data could become the foundation for innovation and public sector transformation.",2018,7.0,Leadership,,,
{Digital Transformation and Public Service Delivery in Brazil},"This article analyzes the digital transformation process of public services in the Brazilian federal government. Based on a survey with 85 federal organizations, 1,740 public services are examined according to different factors that explain why a certain public service is digitalized. We discuss the transition from an e-government to a digital policy, listing the limits related to agent preferences in public policies. The article discusses digital transformation in governments as a process of institutional change in public organizations, taking into account the role of agents, the contexts of choices, and the factors that explain the decision to digitize public services.",2019,6.0,Government organizational structure,,"Based on a survey with 85 federal organizations, 1,740 public services are examined according to different factors that explain why a certain public service is digitalized.",
{The Effects of Transformational and Adaptive Leadership on Dynamic Capabilities: Digital Transformation Projects},"Leadership must be leveraged at the management level to develop the capabilities needed to succeed in digital transformation projects, where complications arise due to technological novelty and environmental dynamics. Transformational leadership (TRL) and adaptive leadership (ADL) are proposed as successful approaches for managing changing behaviors and faster adaptation to new circumstances. Survey results demonstrate the positive influence of TRL on the three project dynamic capabilities. However, its impact on adaptive capability is weak. An interview study was conducted to explore the link between ADL and adaptive capability, providing an additional understanding of insignificant effects on innovative and absorptive capabilities.",2023,2.0,Leadership,,Survey results demonstrate the positive influence of TRL on the three project dynamic capabilities.,
{Managing novelty and cross-agency cooperation in digital government},{\ldots} This study examines the management challenges of managing digital government. In {\ldots} that digital government poses: novelty and cross-agency cooperation. Digital government is novel {\ldots},2004,7.0,Leadership,,,
